Room_Rate Type,Property_Totals,Effected_Beds,Last_Year_Base_Avg,Last_Year3_Eff_Avg,Tier_1_Beds,Tier_1_Base_Rate,Tier_1_Effective_Rate,Tier_1_Concession,Current_Year_Avg,D$,D%
Alps - 1x1 Private,1,1,1889,1889,1,1919,1919, $-   ,1919,30,0.016
Ansley - 1x1 Private,4,4,1824,1824,2,1859,1859, $-   ,1874,50,0.027
Arch - 1x1 Private,1,1,1719,1719,1,1749,1749, $-   ,1749,30,0.017
Arden A - 1x1 Private,13,13,1766,1766,4,1799,1799, $-   ,1827,61,0.034
Arden B - 1x1 Private,1,1,1739,1739,1,1799,1799, $-   ,1799,60,0.035
Ardmore - 1x1 Private,2,2,1769,1769,2,1799,1799, $-   ,1799,30,0.017
Ashton - 1x1 Private,1,1,1739,1739,1,1799,1799, $-   ,1799,60,0.035
Astoria - 1x1 Private,5,5,1789,1789,2,1819,1819, $-   ,1831,42,0.023
Avondale - 1x1 Private,5,5,1869,1869,5,1895,1895, $-   ,1895,26,0.014
Baxter - 2x2 Private,2,2,1399,1399,2,1419,1419, $-   ,1419,20,0.014
Berkeley - 2x2 Private,2,2,1389,1389,2,1409,1409, $-   ,1409,20,0.014
Bexley - 2x2 Private,30,22,1443,1443,6,1469,1469, $-   ,1491,48,0.033
Bexley II - 2x2 Private,84,76,1419,1419,12,1459,1459, $-   ,1498,79,0.055
Bexley III - 2x2 Private,6,6,1499,1499,6,1519,1519, $-   ,1519,20,0.013
Boulevard - 2x2 Private,2,2,1379,1379,2,1399,1399, $-   ,1399,20,0.015
Bradford - 2x2 Private,4,4,1369,1369,4,1389,1389, $-   ,1389,20,0.015
Brookhaven - 2x2 Private,18,10,1414,1414,4,1455,1455, $-   ,1467,53,0.038
Camden - 3x3 Private,39,30,1372,1372,6,1405,1405, $-   ,1431,59,0.043
Camden II - 3x3 Private,3,3,1299,1299,3,1309,1309, $-   ,1309,10,0.008
Candler - 3x3 Private,3,3,1409,1409,3,1439,1439, $-   ,1439,30,0.021
Carlton - 3x3 Private,3,3,1419,1419,3,1449,1449, $-   ,1449,30,0.021
Chastain - 3x3 Private,3,3,1436,1436,3,1465,1465, $-   ,1465,29,0.02
Chatham - 3x3 Private,3,3,1409,1409,3,1439,1439, $-   ,1439,30,0.021
Chelsea - 3x3 Private,39,30,1385,1385,6,1419,1419, $-   ,1445,60,0.044
Chicopee - 3x3 Private,3,3,1459,1459,3,1479,1479, $-   ,1479,20,0.014
Clarke - 3x3 Private,3,3,1419,1419,3,1439,1439, $-   ,1439,20,0.014
Cobbham - 3x3 Private,3,3,1459,1459,3,1479,1479, $-   ,1479,20,0.014
Concord - 3x3 Private,3,3,1399,1399,3,1419,1419, $-   ,1419,20,0.014
